"Summary","UID","Description","Location","Start Time","End Time","URL"
"Texas football takes on Iowa State","22826@utexas.edu","The Longhorns take on the Iowa State Cyclones in Game 10 of the 2012 season.","DKR - Texas Memorial Stadium","2012-11-10 11:00:00-06:00","2012-11-10 14:00:00-06:00","http://texassports.com"
"Jhalak Bollywood dance competition comes to campus","22865@utexas.edu","Hosted by the Indian Cultural Association at The University of Texas at Austin and DesiDanceTeams.com (DDT), Jhalak is the largest national Bollywood dance competition in the State of Texas, featuring collegiate teams from across the country. This year, Jhalak focuses on pure dance skill, without the frills.","Hogg Auditorium","2012-11-10 18:30:00-06:00","2012-11-10 22:30:00-06:00","http://texasjhalak.com"
"Front & Center presents ""We Are Yours"" showcase","22841@utexas.edu","Front & Center, a new performing and visual arts organizations, presents its first showcase, ""We Are Yours."" Doors open at 5:30 p.m. Free food served.","Student Activity Center (SAC), auditorium","2012-11-10 19:00:00-06:00","2012-11-10 23:00:00-06:00","https://www.facebook.com/events/424453064283670/"
"Eid banquet sponsored by Pakistani Students Association","22763@utexas.edu","The Texas Pakistani Students Association hosts an Eid banquet to celebrate the cultural significance of Eid in the lives of Muslims worldwide. Alumni, professionals and families from all over Austin are welcome to join the UT student body for great food and a wonderful evening.","Student Activity Center (SAC), ballroom","2012-11-10 19:00:00-06:00","2012-11-10 23:00:00-06:00","https://www.facebook.com/events/294381807343653"
"Veterans' Day parade volunteers sought","22846@utexas.edu","Join WarriorWorks to honor veterans in the Veterans' Day parade, beginning at 8 a.m. RSVP to Robin Sikes at sikes.robin@gmail.com. All are welcome. Hot-off-the-presses WarriorWorks t-shirts will be for sale that morning at &#36;10 each and WarriorWorks will have a table at the Long Center in the afternoon.","Ann Richards Congress Avenue Bridge","2012-11-11 08:00:00-06:00","2012-11-11 11:00:00-06:00","https://www.facebook.com/warriorworksatx"
"UT Sailing Club announces Sunday Sail","22771@utexas.edu","Join the UT Sailing Club for a Sunday sail on Lake Travis.  UTSC is a no-experience-necessary recreational sailing club with a variety of boats ranging from sunfish and lasers to a J/24. Meet to carpool. Bring a swimsuit, towel, water, lunch and sunscreen.","Carpool meets at 27th St. & Wichita surface parking lot","2012-11-11 11:00:00-06:00","2012-11-11 18:00:00-06:00","http://www.utsailing.com/"
"Blanton hosts public tour of ""The Rules of Basketball""","22775@utexas.edu","Basketball's history and future come together in this juxtaposition of James Naismith's ""Original Rules of Basket Ball"" and the cutting-edge originality of contemporary artist Paul Pfeiffer's video sculptures that feature the spectacle of basketball.","Blanton Museum of Art","2012-11-11 15:00:00-06:00","2012-11-11 16:00:00-06:00","http://blantonmuseum.org/calendar_events/details/public_tour_the_rules_of_basketball2"
"Inclusive Leadership workshop announced","22827@utexas.edu","Sorority and Fraternity Life's continuing series for new members of sororities and fraternities holds an Inclusive Leadership workshop. This training is designed to help participants develop inclusive leadership skills and equip them to work with a diverse group of people.","Gearing Hall (GEA) 105","2012-11-11 18:00:00-06:00","2012-11-11 19:00:00-06:00",""
"Eddie Vedder performs with guest Glen Hansard","20877@utexas.edu","Eddie Vedder performs at Bass Concert Hall with guest Glen Hansard. Vedder's solo album ""Ukulele Songs"" was nominated for the Best Folk Album Grammy.","Bass Concert Hall (PAC)","2012-11-11 19:30:00-06:00","2012-11-11 21:30:00-06:00","http://ev9.evenue.net/cgi-bin/ncommerce3/SEGetEventList?groupCode=EV&linkID=tex-pac&shopperContext=&caller=&appCode=&RSRC=tex-pac&RDAT=TPA-EVT-GRUP"
"Rick Ross, Meek Mill and Wale perform at Erwin Center","22777@utexas.edu","Maybach Music Group brings Rick Ross, Meek Mill and Wale to perform a headline set with special guest Machine Gun Kelly and host DJ Scream at the Frank Erwin Center.","Frank Erwin Center","2012-11-11 19:30:00-06:00","2012-11-11 22:30:00-06:00","http://uterwincenter.com/events/2012/rick-ross"
"UT Conjunto Ensemble performs for World Music Week","22925@utexas.edu","The UT Conjunto Ensemble performs as part of World Music Week at the Butler School of Music (Nov. 11-14).","Butler School of Music (MRH), Recital Studio 2.608","2012-11-11 19:30:00-06:00","2012-11-11 21:30:00-06:00","http://music.utexas.edu/calendar/default.aspx"
"Texas Student Media's ""Local Live"" presents Levi Weaver","22916@utexas.edu","KVRX and TSTV proudly present ""Local Live."" Be part of a live taping and TV/radio broadcast for solo artist Levi Weaver. The free concert with live audience taping includes food and refreshments. Wristbands are available from Thursday, Nov. 8, at 1 p.m. and all day Friday at HSM.","Hearst Building (HSM), 4th floor studio","2012-11-11 21:30:00-06:00","2012-11-11 23:30:00-06:00","https://www.facebook.com/events/107586826072168/"
"International Education Week announced","22472@utexas.edu","UT Austin hosts its fourth annual International Education Week (IEW) through Nov. 16, promoting cross-cultural exchange and global understanding. Events include foreign and documentary film nights, country and culture workshops, music and dance performances, international trivia competitions and more.  Visit IEW's website below for the full schedule.","Various locations on campus","2012-11-12 09:00:00-05:51","2012-11-12 17:00:00-05:51","http://utiew.wordpress.com"
"Coats of Love holiday coat drive announced","22937@utexas.edu","Students for Equity and Diversity (SED) hosts Coats of Love, a holiday coat drive. Faculty, staff and students are encouraged to donate lightly used or new jackets, sweaters, blankets, coats, socks and scarves. Drop items at the location listed below for donation to the Multicultural Refugee Coalition.","Student Activity Center (SAC), Multicultural Engagement Center 2.102","2012-11-12 09:00:00-06:00","2012-11-12 16:00:00-06:00","http://mrcaustin.org/"
"Veteran appreciation tabling event announced","22917@utexas.edu","In recognition of Veterans Day, Student Veteran Services, a division of The Office of The Dean of Students, and the Student Veteran Association host a tabling event on the Six Pack for grassroots outreach including health-care benefit enrollment services and free goodies.","South Mall Six Pack","2012-11-12 09:30:00-06:00","2012-11-12 14:30:00-06:00","http://deanofstudents.utexas.edu/veterans/index.php"
"Institute for Historical Studies presents Huaiyin Lee","22084@utexas.edu","""Geopolitics, Fiscal Constitution, and Statecraft: The Qing Empire Revisited"" is a talk by Dr. Huaiyin Li, Institute for Historical Studies fellow and professor of modern Chinese history at The University of Texas at Austin. Dr. Mark Metzler, associate professor of history and Asian studies at the University of Texas at Austin, responds.



Most recently, Li is the author of ""Reinventing Modern China: Imagination and Authenticity in Chinese Historical Writing."" His current project is tentatively titled ""China Before the Rise: Maoist Economy and Politics Revisited."" ","Garrison Hall (GAR) 4.100","2012-11-12 12:00:00-06:00","2012-11-12 13:00:00-06:00","http://www.utexas.edu/cola/insts/historicalstudies/events/23287"
"Anthropologist discusses technology & traditional intimacy","22847@utexas.edu","The Department of Anthropology welcomes Melissa Gregg, Gender and Cultural Studies, University of Sydney, presenting a talk titled ""Ambient Companions."" Gregg explores how online media platforms have transformed traditional avenues for intimacy.","Student Activity Center (SAC) 5.118","2012-11-12 12:00:00-06:00","2012-11-12 13:15:00-06:00","http://www.utexas.edu/cola/depts/anthropology/events/24667"
"Speaker Richard Nunan discusses the transgender gaze","22848@utexas.edu","The Center for Women's & Gender Studies Speaker Series presents ""What Is the Transgender Gaze? Identity Politics and Transgender Ambivalence at the Movies,"" a talk by Richard Nunan, College of Charleston.","Gebauer Building (GEB), 3rd floor conference room","2012-11-12 12:00:00-06:00","2012-11-12 13:30:00-06:00","http://www.utexas.edu/cola/centers/cwgs/events/23681"
"Moscow-Texas Connections Program holds info session","22897@utexas.edu","Attend an information session for the Moscow-Texas Connections Program, a Fulbright-Hays Group Project Abroad, offering a 10-week Russian language and culture summer program at the Higher School of Economics in Moscow, June 10-August 16. Open to students at a level of 2nd year and above. Cost to participants is only &#36;200.  Application due Dec. 15.","Calhoun Hall (CAL) 422","2012-11-12 12:00:00-06:00","2012-11-12 13:00:00-06:00","http://www.utexas.edu/cola/centers/creees/outreach/fulbright-hays-moscow.php"
"Former U.S. Attorney General Ramsey Clark speaks","22832@utexas.edu","William Ramsey Clark, the 66th U.S. attorney general, delivers a lecture titled ""From Civil Rights to Human Rights."" Clark played an important role in the Johnson administration's civil rights agenda, including supervising the drafting of the 1968 Civil Rights Act, and later became a noted international human rights activist.  



The talk is co-presented the Bernard and Audre Rapoport Center for Human Rights and Justice and the William Wayne Justice Center for Public Interest Law. Cosponsors include the Public Interest Law Association, the Texas Journal for Civil Liberties & Civil Rights and the Thurgood Marshall Legal Society.","School of Law (CCJ), Eidman Courtroom 2.306","2012-11-12 12:00:00-06:00","2012-11-12 13:00:00-06:00",""
"Rembrandt and the Jews is art history lecture topic","22926@utexas.edu","Professor Shelley Perlove, University of Michigan, Dearborn, gives a talk on Rembrandt and the Jews as part of the Art History Lecture Series.","Art Building (ART) 1.120","2012-11-12 16:00:00-06:00","2012-11-12 17:00:00-06:00","http://www.utexas.edu/finearts/aah/event/art-history-lecture-series-presents-shelley-perlove"
"Study abroad in Rio de Janeiro, Brazil","22485@utexas.edu","Attend an information session to learn more about study abroad in Brazil on the topic of the theory, history and politics of the African Diaspora in the Americas.","Bellmont Hall (BEL) 224K","2012-11-12 16:00:00-06:00","2012-11-12 17:00:00-06:00","http://utdirect.utexas.edu/io/abroad/pgm_list/detail.WBX?s_master_id=40"
"Bevonomics 302B presents Investing for Life","22087@utexas.edu","Learn how to use investments to satisfy your financial goals.","Waggener Hall (WAG) 208","2012-11-12 17:00:00-06:00","2012-11-12 18:00:00-06:00","http://www.facebook.com/Bevonomics"
"Study Organic Chemistry II (CH 320N) in Spain ","22086@utexas.edu","Attend this information session to learn how you can take Organic Chemistry II (CH 320N) in Spain. Pizza and drinks provided. ","Painter Hall (PAI) 3.14","2012-11-12 17:00:00-06:00","2012-11-12 18:30:00-06:00",""
"Emergency preparedness is S.E.E.D. workshop topic","22085@utexas.edu","This workshop provides participants with the tools necessary to be a leader in campus emergency preparedness in cases of natural and man-made incidents. This is a multi-media workshop; discussion will be encouraged. Presented by the Office of Emergency Preparedness.","North Office Building A (NOA) 4.106A","2012-11-12 17:00:00-06:00","2012-11-12 18:00:00-06:00","http://tinyurl.com/8uf6mrt"
"UEX walk-in advising session held","22456@utexas.edu","Dr. Mike Raney, University Extension's academic adviser, holds a two-hour session to meet with students. Email Raney at mike.raney@austin.utexas.edu with questions or to schedule an appointment.



University Extension provides flexible course options and formats to individuals seeking to earn credit at The University of Texas at Austin.","Hogg Building (WCH) 2.102","2012-11-12 17:00:00-06:00","2012-11-12 19:00:00-06:00","http://www.utexas.edu/ce/uex/advising/"
"Final movie in Lars von Trier film series screened","22902@utexas.edu","""Melancholia"" (2011) is the most recent Lars von Trier movie and the last in the film series. In this beautiful picture poem and meditation on depression and the end of the world, Justine is an emotionally troubled newlywed whose sister Claire throws her a lavish wedding party as an impending apocalypse nears.","Burdine Hall (BUR) 337","2012-11-12 18:00:00-06:00","2012-11-12 20:15:00-06:00","http://www.utexas.edu/cola/depts/germanic/events/23895"
"Callicarpa hosts opening for Bantam: How Big Is Small?","22889@utexas.edu","Attend an opening reception for Bantam: How Big Is Small? This exhibition by Callicarpa Galleries explores ways in which small works can operate in big ways, negating our assumptions that a work's strength comes through its size.","Art Building (ART) 2.248E","2012-11-12 18:00:00-06:00","2012-11-12 21:00:00-06:00","http://www.callicarpa.net/"
"Learn about Human Dimensions of Organizations master's","22448@utexas.edu","The Human Dimensions of Organizations (HDO) master of arts degree application is now open for enrollment in fall 2013. Attend an information session to meet the director and select faculty.



HDO provides training in identifying and solving organizational problems. This professional graduate degree is designed specifically for local, national and international leaders in the business and nonprofit sectors. Courses emphasize the real-world applications of the humanities, social sciences, and behavioral sciences.","Texas Union Building (UNB), Lone Star Room 3.208","2012-11-12 18:30:00-06:00","2012-11-12 20:00:00-06:00","http://hdo.utexas.edu/hdo/rsvp-information-session/"
"""Switch"": Documentary looks at our energy future","22895@utexas.edu","In 2009, documentary filmmaker Harry Lynch and geologist Dr. Scott Tinker set out to make a film on our transition from the current fossil fuel-dominated energy system to a more diversified system. The goal was not to advocate for one technology over another, nor to suggest how the transition should happen. The result is ""Switch.""","Student Activity Center (SAC), auditorium 1.402","2012-11-12 19:00:00-06:00","2012-11-12 21:00:00-06:00","http://www.switchenergyproject.com/"
"Mises Circle reads ""How an Economy Grows & Why It Doesn't""","22918@utexas.edu","This week the Mises Circle dives into capital theory with Irwin Schiff's classic comic book, ""How an Economy Grows and Why it Doesn't."" This simple comic book provides key insights onto the importance of savings and capital in an economy and the troubles of distorting these factors. View the pdf here: http://freedom-school.com/money/how-an-economy-grows.pdf.","Waggener Hall (WAG) 308","2012-11-12 19:00:00-06:00","2012-11-12 20:15:00-06:00","https://www.facebook.com/events/122227864601345/"
"Mariachi Ensemble performs for World Music Week","22927@utexas.edu","The Mariachi Ensemble performs as part of World Music Week at the Butler School of Music (Nov. 11-14).","Butler School of Music (MRH), Recital Studio 2.608","2012-11-12 19:30:00-06:00","2012-11-12 21:30:00-06:00",""
"Award-winning poet Matt Hart reads on campus","22919@utexas.edu","The New Writers Project presents a reading and talk by 2012 visiting writer Matt Hart. Author of four acclaimed books of poetry, Hart is the poet-in-residence at the Art Academy of Cincinnati.","Carothers Dormitory (CRD), Joynes Reading Room 007","2012-11-12 19:30:00-06:00","2012-11-12 20:30:00-06:00","http://newwritersproject.org"
"""Vagina Monologues"" director application deadline extended ","22973@utexas.edu","The Women's Resource Agency seeks applicants to direct this year's production of Eve Ensler's ""Vagina Monologues."" The student-run performance takes place March 21-23, this year featuring simultaneous performance in American Sign Language. Visit the link below or email danielle.corley@utexas.edu for an application.","Online","2012-11-13 09:00:00-05:51","2012-11-13 17:00:00-05:51",""
"Orange Santa accepts donations during annual toy drive","22980@utexas.edu","Orange Santa seeks donations for its annual drive. Donated toys or gifts should be new, unwrapped and in original packing. Donations can be dropped at UT guard stations and parking garages on the main campus and at Pickle Research Campus. Wrapping paper, gift bags, ribbons and gift cards also accepted. Make monetary donations online the link below.  



Cash or checks can be received at the Office of University Events (MAI 22; phone Jill Rice at 512-471-7753).","Campus-wide","2012-11-13 09:00:00-05:51","2012-11-13 17:00:00-05:51","http://www.utexas.edu/events/orangesanta/"
"Researchers seek users of online diabetes communities ","22994@utexas.edu","A group of researchers in the School of Information seeks participants for an interview study about how online diabetes communities are being used. Contact us at danresearch@utexas.edu. Your time will be compensated with a &#36;20 Amazon gift card. This study has been approved by the IRB at UT-Austin and the IRB number is 2011-12-0036.","UT Administration Building (UTA) 5.510 and 5.516, School of Information","2012-11-13 09:00:00-05:51","2012-11-13 17:00:00-05:51",""
"One Million Bones: Art installation promotes social justice","22849@utexas.edu","One Million Bones (OMB) is a national hands-on art project that was initiated by artist Naomi Natale in New Mexico to create awareness about the atrocities emerging from military conflict and humanitarian crises around the globe. The Academic Service-Learning program is proud to sponsor an art installation developed by Dr. Kara Hallmark's Visual Art Studies service-learning students in partnership with the One Million Bones project and Students Rebuild.","South Mall","2012-11-13 11:00:00-06:00","2012-11-13 13:00:00-06:00","http://ddce.utexas.edu/servicelearning/2012/10/29/art-installation-to-raise-awareness-of-humanitarian-crises/"
"Liberal Arts Council presents ""Oh the Places You'll Go!""","22906@utexas.edu","Learn about study and work abroad from guests from major language departments at the university, the Study Abroad Office, Liberal Arts Career Services, international exchange students, as well as representatives from nonprofit organizations and recruiters looking to send people abroad. Free food served.","Flawn Academic Center (FAC), patio","2012-11-13 11:00:00-06:00","2012-11-13 14:00:00-06:00","http://www.facebook.com/events/106053796225912/"
"Hispanic Faculty/Staff Association hosts potluck meeting","22088@utexas.edu","Join the Hispanic Faculty/Staff Association for its November general meeting. The theme is ""Giving Thanks / Dando Gracias."" HFSA will provide the main dishes (turkey and ham) and asks members to provide side dishes, desserts and drinks to share in this family-style potluck.



Membership in the Hispanic Faculty/Staff Association (HFSA) is open to all faculty members and staff employed at least 20 hours per week at the University of Texas at Austin, regardless of religion, age, race or color, marital status, national origin, disability or sexual orientation. ","Recreational Sports Center (RSC)","2012-11-13 11:45:00-06:00","2012-11-13 13:00:00-06:00","http://www.utexas.edu/staff/hfsa/events/fiestaauction.html"
"Research plus Pizza presents Art Markman on Smart Thinking","22457@utexas.edu","Dr. Art Markman, Department of Psychology, discusses the cognitive science research that led to his book ""Smart Thinking,"" an action plan for thinking more effectively.","Perry-Castaneda Library (PCL) 2.500","2012-11-13 11:45:00-06:00","2012-11-13 13:00:00-06:00","http://www.lib.utexas.edu/calendar/researchpizza-art-markman-smart-thinking"
"Fall 2012 Poster Design Class announced","22850@utexas.edu","The Poster Design Class covers poster content, design guidelines and timelines, as well as poster presentation know-how. All undergraduates at any stage in their research are welcome. RSVP to ugresearcher@utlists.utexas.edu. ","Flawn Academic Center (FAC) 332","2012-11-13 12:00:00-06:00","2012-11-13 13:30:00-06:00","http://www.utexas.edu/ugs/our/students/poster-workshops"
"Durability of Yiddish in Argentina is topic of talk","22929@utexas.edu","Professor Alan Astro, Trinity University, delivers a talk titled ""The Durability of Yiddish in Argentina."" Lunch provided.","Texas Hillel, 2105 San Antonio Street","2012-11-13 12:00:00-06:00","2012-11-13 13:30:00-06:00","http://www.utexas.edu/cola/centers/scjs/events/23657"
"Food Lab hosts official taste testing ","22928@utexas.edu","Come and taste the products of three enterprising food companies all for the wonderful price of nothing. Sign up at the link below and come be a food critic.","Sutton Hall (SUT) 3.112","2012-11-13 12:00:00-06:00","2012-11-13 12:45:00-06:00","https://foodlab.ticketbud.com/tastetest"
"UT in Sydney info session held","22337@utexas.edu","Kinesiology and Health Education majors are invited to learn about the new ""UT in Sydney"" exchange program from faculty, academic advisers and study abroad coordinators. In this unique two-part program, you will earn 16-20 hours of UT credit while exploring Australian sports culture.","Bellmont Hall (BEL) 1005","2012-11-13 12:00:00-06:00","2012-11-13 13:00:00-06:00",""
"Future of U.S. presence in the Persian Gulf assessed","22896@utexas.edu","The Robert S. Strauss Center for International Security and Law presents a talk assessing the tuture of U.S. presence in the Persian Gulf by Caitlin Talmadge, assistant professor of political science and international affairs at George Washington University. Refreshments served.","Sid Richardson Hall (SRH) 3.124","2012-11-13 12:15:00-06:00","2012-11-13 13:30:00-06:00","http://www.strausscenter.org/details/207-should-i-stay-or-should-i-go-now-assessing-the-future-of-u-s-presence-in-the-persian-gulf.html"
"International health & social policy research talk held","22960@utexas.edu","Get an eye-opening look into the international side of the LBJ School's Center for Health and Social Policy as LBJ School professors Carolyn Heinrich, David Warner, Jane Lincove and Sam Richardson discuss their research on South Africa, the U.S.-Mexico border, sub-Saharan Africa and the UK, respectively. Bring a lunch; coffee, dessert and conversation provided.","Sid Richardson Hall (SRH) 3.122, LBJ School of Public Affairs","2012-11-13 12:15:00-06:00","2012-11-13 13:30:00-06:00",""
"Bob Dylan's ""Last Thoughts on Woody Guthrie"" is talk topic","22851@utexas.edu","""Second Last Thoughts on Bob Dylan's 'Last Thoughts on Woody Guthrie'"" is a talk by Tom Palaima, professor of Classics, The University of Texas at Austin. Palaima ponders two Dylan tributes to Guthrie and discusses the nature of a meeting between the two in 1961.","Belo Center for New Media (BMC) 5.208","2012-11-13 12:30:00-06:00","2012-11-13 13:45:00-06:00","http://communication.utexas.edu/senior-fellows/public-events-and-lectures-2012-13"
"Strengthening innovative learning is theme of workshop","22945@utexas.edu","Innovation can be learned. Critical to improving creativity is appreciating how to overcome habitual ways of thinking. Dr. Roberta Ness, MD, MPH, dean of the university's School of Public Health, provides a toolbox of techniques described in her book ""Innovation Generation.""","Flawn Academic Center (FAC) 328","2012-11-13 13:00:00-06:00","2012-11-13 14:30:00-06:00","http://www.ctl.utexas.edu/workshops-and-events/academic-transformation-speaker-series/strengthening-innovative-learning/view/2012-11-13"
"Avoiding Plagiarism class offered online","21460@utexas.edu","This online session defines plagiarism and covers mistakes that can lead to plagiarism, strategies for avoiding these mistakes and practical techniques for using sources correctly. At class start time, click the link below. Select ""Enter as a Guest,"" type your name and click ""Enter Room."" Special sessions of this class may also be arranged for UT groups or departments. Visit http://www.lib.utexas.edu/services/instruction/classes/index.html for information.","Online","2012-11-13 14:00:00-06:00","2012-11-13 15:00:00-06:00","https://meeting.austin.utexas.edu/avoidingplagiarism/"
"Peace Corps info session held","22776@utexas.edu","Attend a Peace Corps informational session with the UT representative and guest returned volunteer. Learn about the mission of the Peace Corps, the volunteer experience and how to become a Peace Corps volunteer.","Flawn Academic Center (FAC) 4","2012-11-13 15:00:00-06:00","2012-11-13 16:00:00-06:00","http://world.utexas.edu/peacecorps"
"Cult of personality explored in sociologist's talk","22938@utexas.edu","""Cult of Personality: Social Actors behind the Stage"" is a talk by Adrian Popan, Department of Sociology. Popan identifies the causes and structural conditions that permit the development of cults of personality around state leaders in totalitarian societies.","Calhoun Hall (CAL) 422","2012-11-13 15:00:00-06:00","2012-11-13 16:00:00-06:00","http://www.utexas.edu/cola/centers/creees/events/24937"
"Personality in workplace is S.E.E.D. workshop topic","21836@utexas.edu","In a workshop offered to student employees of UT Austin, unravel the mysteries behind your coworkers' - and classmates' - quirky behavior by exploring personality types, Carl Jung and the theories behind the Myers-Briggs Type Indicator. Become aware of your own personality type and the types of others, and explore how personality is expressed in the workplace.","North Office Building A (NOA) 4.106A","2012-11-13 15:00:00-06:00","2012-11-13 16:00:00-06:00","http://tinyurl.com/8jw9dox"
"TX Distinguished Faculty Lecture presents Ignacio Grossmann","22090@utexas.edu","Dr. Ignacio Grossman of Carnegie-Mellon University presents a seminar titled ""Discrete and Continuous Optimization Models for the Design and Operation of Sustainable and Robust Process Systems."" He will provide an overview of recent applications in process systems engineering of new discrete and continuous optimization techniques.","Chemical and Petroleum Engineering Building (CPE) 2.218","2012-11-13 15:30:00-06:00","2012-11-13 16:30:00-06:00","http://www.che.utexas.edu/event/tdfl/"
"UEX walk-in advising session held","22458@utexas.edu","Dr. Mike Raney, University Extension's academic adviser, holds a two-hour session to meet with students. Email Raney at mike.raney@austin.utexas.edu with questions or to schedule an appointment.



University Extension (UEX) provides flexible course options and formats to individuals seeking to earn credit at The University of Texas at Austin.","Hogg Building (WCH) 2.102","2012-11-13 16:00:00-06:00","2012-11-13 18:00:00-06:00","http://www.utexas.edu/ce/uex/advising/"
"Compliance and ethics are S.E.E.D. workshop topic","21842@utexas.edu","Compliance and ethics are the topics of a workshop offered for students employed by UT Austin. Compliance and ethics programs are a standard practice in business. Learn the importance of these programs in the public and private sectors and how they got started. Presented by University Compliance Services.","Flawn Academic Center (FAC) 328","2012-11-13 17:00:00-06:00","2012-11-13 18:00:00-06:00","http://tinyurl.com/9xttjkv"
"International Travel 101 session held","22486@utexas.edu","This session, part of International Education Week, is open to anyone who is thinking of traveling abroad for the first time or needs a refresher on the ABCs of international travel. Contact Ellen Aoki at eaoki@austin.utexas.edu or Sejal Mehta at smehta@austin.utexas.edu.

 

Topics include:

- How to get a passport and/or visa

- How to buy a plane ticket, get through customs, deal with jet lag

- Ideas on how to save money for a future trip abroad

- Accessing money abroad and exchange rates

- What to pack, and more","North Office Building A (NOA) 1.102","2012-11-13 17:30:00-06:00","2012-11-13 19:00:00-06:00",""
"Career Trends panel hosts reps from various fields","22778@utexas.edu","Have questions about supply chain management? The medical profession? Business analytics? Do you want to know what recruiters really want? Texas PSA hosts a panel of professionals from multiple fields (Dell, BP, BroadCom, Houston Methodist Hospital, Volt), who discuss their industries and answer your questions.



Panelists are:

Shahid Javed, chief procurement officer, North America Gas, BP



Aizaz Manzar, director of Worldwide Demand Planning, Dell



Asher Syed, Business Strategy & Analytics manager, Dell



Zafar Choudhury, technical and professional recruiter, Volt Technical Resources



Faisal Masud, M.D., critical care cardiology, associate professor, Cornell, Houston Methodist Hospital



Imran Baqai, principal engineer, BroadCom","Texas Union Building (UNB), Quadrangle Room 3.304","2012-11-13 17:30:00-06:00","2012-11-13 20:00:00-06:00",""
"Money Talks presents Bril Flint, angel investor","22810@utexas.edu","Attend a presentation by Bril Flint, an active angel investor and the incoming chairman of the Central Texas Angel Network (CTAN). Prior to his investing, he was a successful corporate executive at highly entrepreneurial companies such as Apple, Dell, EMI-Capitol Music and Bain.","AT&T Executive Education and Conference Center (ATT) 201","2012-11-13 17:30:00-06:00","2012-11-13 20:00:00-06:00",""
"Human Rights Student Advisory Council meets","22852@utexas.edu","The Human Rights Student Advisory Council meets, bringing together human rights organizations across campus.","Benedict Hall (BEN) 1.104","2012-11-13 18:00:00-06:00","2012-11-13 19:00:00-06:00",""
"KUT presents talk on Voyager spacecraft's Golden Record","22930@utexas.edu","KUT presents ""Defining Intelligence: The Golden Record Revisited,"" a talk with poet Tomas Morin and essayist/performer Elena Passarello, who are editing an anthology on the Voyager mission and assembling poetry, fiction, nonfiction and plays that respond to the content of this record and illustrate the intelligence and diversity of life on Earth. Limited seating.","The Cactus Cafe","2012-11-13 18:00:00-06:00","2012-11-13 19:00:00-06:00","http://kut.org/2012/07/up-next-with-views-and-brews/"
"Worldwide perceptions of Islam is IAS Round Table topic","22931@utexas.edu","Mark your calendars for the International Affairs Society's 5th Round Table discussion, an official event of International Education Week. This biannual panel discussion features scholarly presentations, a Q&A and refreshments.","Hogg Building (WCH) 1.120","2012-11-13 18:00:00-06:00","2012-11-13 20:00:00-06:00","http://www.facebook.com/events/293866314053262/?fref=ts"
"VAC presents screening of ""Méliès""","22460@utexas.edu","In conjunction with the Part Two: Department of Art and Art History Faculty Exhibition, Professor Teresa Hubbard presents the single-screen version of a recent video work, ""Méliès,"" created in collaboration with Alexander Birchler. The video is the second installment in their trilogy exploring the social and physical sites of cinema.","Art Building (ART) 1.102","2012-11-13 19:00:00-06:00","2012-11-13 20:00:00-06:00","http://utvac.org/programs/screening-melies-hubbard-birchler"
"""Texas Furniture"" volume 2 book signing & reception held","22946@utexas.edu","Celebrate the release of the updated and expanded ""Texas Furniture, Volume Two:

The Cabinetmakers and Their Work, 1840-1880"" with a program, book signing and reception featuring authors Lonn Taylor and David B. Warren. A reception follows the lecture. RSVP to cah.rsvp@austin.utexas.edu or call 512-495-4369.","Bullock Texas State History Museum","2012-11-13 19:00:00-06:00","2012-11-13 21:00:00-06:00","http://bit.ly/UdXG27"
"Diwali 2012 celebrated on Main Mall","22855@utexas.edu","The Hindu Student's Association presents Diwali 2012, a fun-filled night of games and prizes, live entertainment and a fireworks show. Food available at reasonable prices.","Main Mall","2012-11-13 19:00:00-06:00","2012-11-13 22:00:00-06:00",""
"""Out on the Front Lines"" is talk by veteran & LGBT activist","22853@utexas.edu","""Out on the Front Lines"" is a speech by Lt. Dan Choi, Iraq War veteran and LGBT activist. Choi discusses his personal struggle for truth and acceptance in the military, as well as his continuing fight for LGBT rights and veterans' health. A Q&A session follows the lecture. Email              dsc@utlists.utexas.edu for more information.","Student Activity Center (SAC), ballroom ","2012-11-13 19:00:00-06:00","2012-11-13 20:30:00-06:00",""
"Amnesty International meeting held","22974@utexas.edu","Human rights in Syria is the topic of this Amnesty International meeting.","Parlin Hall (PAR) 101","2012-11-13 19:00:00-06:00","2012-11-13 20:00:00-06:00","http://texasamnestyinternational.com/general-meetings/"
"Ayn Rand's Free Market Revolution is talk topic","22854@utexas.edu","Don Watkins discusses Ayn Rand's Free Market Revolution. Traditionally, moral idealism has been on the side of those who want to expand government in the name of ""the common good."" Rand turned that on its head, placing moral idealism on the side of individualism and capitalism. Q&A follows the talk.","Mezes Hall (MEZ) 1.306","2012-11-13 19:00:00-06:00","2012-11-13 21:00:00-06:00",""
"The Early Music Ensemble presents ""Bach and Friends""","22856@utexas.edu","The Early Music Ensemble presents ""Bach & Friends."" Travel through Germany's courts and chapels with the music of D. Buxtehude, G. Muffat and G.F. Handel. Experience two generations of the talented Bach family with works by Johann Sebastian and his son, Carl Philipp Emanuel.","Homer Rainey Hall (HRH), Jessen Auditorium","2012-11-13 19:30:00-06:00","2012-11-13 21:30:00-06:00",""
